"Mot,Distribution,Fréquence relative"
envoyé,1,0.0003894080996884735
portez,2,0.000778816199376947
naissant,1,0.0003894080996884735
fumée,2,0.000778816199376947
défends,1,0.0003894080996884735
prétendu,1,0.0003894080996884735
absolu,2,0.000778816199376947
arrachent,1,0.0003894080996884735
goûtez,1,0.0003894080996884735
poursuivant,1,0.0003894080996884735
soeur,45,0.017523364485981307
seul,13,0.0050623052959501555
souffrons,2,0.000778816199376947
résolue,1,0.0003894080996884735
connais,5,0.0019470404984423676
propres,3,0.0011682242990654205
abandonne,1,0.0003894080996884735
hélas,7,0.0027258566978193145
main,25,0.009735202492211837
avecque,2,0.000778816199376947
honteuse,3,0.0011682242990654205
augmentera,1,0.0003894080996884735
témoigner,1,0.0003894080996884735
charmé,1,0.0003894080996884735
puissent,2,0.000778816199376947
ordonnera,1,0.0003894080996884735
vouloir,10,0.003894080996884735
aurai,3,0.0011682242990654205
ce,160,0.06230529595015576
coeurs,7,0.0027258566978193145
préviendrez,1,0.0003894080996884735
miracle,2,0.000778816199376947
rudes,5,0.0019470404984423676
impies,1,0.0003894080996884735
fondements,1,0.0003894080996884735
hommes,4,0.001557632398753894
enfuit,1,0.0003894080996884735
voulait,1,0.0003894080996884735
soi,4,0.001557632398753894
séparé,1,0.0003894080996884735
bénéfice,1,0.0003894080996884735
fille,9,0.0035046728971962616
percer,2,0.000778816199376947
ont,32,0.012461059190031152
terre,6,0.002336448598130841
animiez,1,0.0003894080996884735
semble,3,0.0011682242990654205
dérober,2,0.000778816199376947
désirée,1,0.0003894080996884735
heureuse,2,0.000778816199376947
nôtre,3,0.0011682242990654205
reproche,4,0.001557632398753894
hasarde,1,0.0003894080996884735
coupable,5,0.0019470404984423676
ennuis,1,0.0003894080996884735
puis,11,0.004283489096573208
appartenait,1,0.0003894080996884735
entretenez,1,0.0003894080996884735
miroirs,1,0.0003894080996884735
eût,9,0.0035046728971962616
écrie,1,0.0003894080996884735
traînait,1,0.0003894080996884735
flétrir,1,0.0003894080996884735
jeta,1,0.0003894080996884735
suit,4,0.001557632398753894
combler,1,0.0003894080996884735
condamnez,1,0.0003894080996884735
pousse,1,0.0003894080996884735
foi,3,0.0011682242990654205
tombes,1,0.0003894080996884735
trompant,1,0.0003894080996884735
tumulte,1,0.0003894080996884735
déplore,2,0.000778816199376947
devez,2,0.000778816199376947
romprai,1,0.0003894080996884735
laissons,2,0.000778816199376947
répondre,1,0.0003894080996884735
préviendra,1,0.0003894080996884735
quelque,20,0.00778816199376947
égalez,1,0.0003894080996884735
quatre,1,0.0003894080996884735
achevé,1,0.0003894080996884735
mélancolie,1,0.0003894080996884735
user,2,0.000778816199376947
gagne,1,0.0003894080996884735
siens,5,0.0019470404984423676
gorge,1,0.0003894080996884735
commencé,1,0.0003894080996884735
retirer,1,0.0003894080996884735
aise,1,0.0003894080996884735
soulager,1,0.0003894080996884735
acte,1,0.0003894080996884735
sachez,2,0.000778816199376947
comble,1,0.0003894080996884735
ajouter,1,0.0003894080996884735
malheurs,10,0.003894080996884735
désavouerais,1,0.0003894080996884735
charmée,1,0.0003894080996884735
silence,1,0.0003894080996884735
dise,1,0.0003894080996884735
relâche,1,0.0003894080996884735
soupçons,1,0.0003894080996884735
destinée,2,0.000778816199376947
joui,1,0.0003894080996884735
étouffées,1,0.0003894080996884735
ignorant,2,0.000778816199376947
petits,1,0.0003894080996884735
change,2,0.000778816199376947
avoir,10,0.003894080996884735
laisser,1,0.0003894080996884735
faisons,2,0.000778816199376947
il,206,0.08021806853582554
verrez,1,0.0003894080996884735
périr,2,0.000778816199376947
jalousie,1,0.0003894080996884735
spectre,1,0.0003894080996884735
domptés,1,0.0003894080996884735
pressante,1,0.0003894080996884735
irons,1,0.0003894080996884735
pourquoi,6,0.002336448598130841
revoyons,1,0.0003894080996884735
publique,1,0.0003894080996884735
alors,10,0.003894080996884735
espérer,4,0.001557632398753894
rend,4,0.001557632398753894
prince,4,0.001557632398753894
succède,2,0.000778816199376947
projets,2,0.000778816199376947
hâte,1,0.0003894080996884735
pourra,2,0.000778816199376947
savoir,4,0.001557632398753894
romain,10,0.003894080996884735
combattre,6,0.002336448598130841
veuille,1,0.0003894080996884735
genoux,2,0.000778816199376947
fantaisie,1,0.0003894080996884735
y,25,0.009735202492211837
prêts,3,0.0011682242990654205
bons,3,0.0011682242990654205
intéresse,1,0.0003894080996884735
écouté,1,0.0003894080996884735
réduisait,1,0.0003894080996884735
yeux,23,0.00895638629283489
frères,26,0.010124610591900311
mésestimer,1,0.0003894080996884735
saura,1,0.0003894080996884735
suivons,2,0.000778816199376947
pareille,3,0.0011682242990654205
plaisirs,1,0.0003894080996884735
glace,1,0.0003894080996884735
»,4,0.001557632398753894
faveur,6,0.002336448598130841
tombeaux,1,0.0003894080996884735
trait,1,0.0003894080996884735
victoires,2,0.000778816199376947
roi,15,0.005841121495327103
évite,1,0.0003894080996884735
liberté,1,0.0003894080996884735
simples,1,0.0003894080996884735
laissé,1,0.0003894080996884735
fièrement,1,0.0003894080996884735
peuples,3,0.0011682242990654205
manque,4,0.001557632398753894
consoler,1,0.0003894080996884735
citoyen,1,0.0003894080996884735
avait,6,0.002336448598130841
défendrai,1,0.0003894080996884735
miens,6,0.002336448598130841
vaincu,3,0.0011682242990654205
arment,2,0.000778816199376947
auteurs,1,0.0003894080996884735
combats,3,0.0011682242990654205
où,23,0.00895638629283489
ambitieuse,1,0.0003894080996884735
long,2,0.000778816199376947
dépit,1,0.0003894080996884735
étaient,1,0.0003894080996884735
désormais,3,0.0011682242990654205
ni,23,0.00895638629283489
renommée,6,0.002336448598130841
donneront,1,0.0003894080996884735
vengeance,3,0.0011682242990654205
seront,1,0.0003894080996884735
soupirer,1,0.0003894080996884735
admire,2,0.000778816199376947
en,261,0.10163551401869159
milieu,4,0.001557632398753894
frère,29,0.011292834890965732
attendrit,1,0.0003894080996884735
mouvement,4,0.001557632398753894
divers,2,0.000778816199376947
rompu,1,0.0003894080996884735
plein,1,0.0003894080996884735
blasphèmes,1,0.0003894080996884735
mît,1,0.0003894080996884735
sa,97,0.03777258566978193
voit,13,0.0050623052959501555
assurance,4,0.001557632398753894
souillés,1,0.0003894080996884735
lasse,1,0.0003894080996884735
savent,1,0.0003894080996884735
verriez,2,0.000778816199376947
cachant,1,0.0003894080996884735
noyons,1,0.0003894080996884735
nommons,1,0.0003894080996884735
règne,2,0.000778816199376947
murailles,2,0.000778816199376947
rejoindre,1,0.0003894080996884735
conquête,1,0.0003894080996884735
impuissant,1,0.0003894080996884735
appareil,1,0.0003894080996884735
places,1,0.0003894080996884735
grec,1,0.0003894080996884735
animée,1,0.0003894080996884735
suspendus,1,0.0003894080996884735
étais,2,0.000778816199376947
prends,1,0.0003894080996884735
ami,2,0.000778816199376947
nécessaires,1,0.0003894080996884735
parmi,4,0.001557632398753894
chassez,1,0.0003894080996884735
jusque,1,0.0003894080996884735
aurais,3,0.0011682242990654205
sacrifier,2,0.000778816199376947
imaginé,1,0.0003894080996884735
sépare,3,0.0011682242990654205
démons,2,0.000778816199376947
affliger,1,0.0003894080996884735
murmurer,1,0.0003894080996884735
tonnerre,1,0.0003894080996884735
attachée,1,0.0003894080996884735
accueil,3,0.0011682242990654205
défenseurs,1,0.0003894080996884735
combattrais,1,0.0003894080996884735
redouter,1,0.0003894080996884735
ravir,1,0.0003894080996884735
finirai,1,0.0003894080996884735
adroitement,1,0.0003894080996884735
joie,16,0.006230529595015576
envieux,1,0.0003894080996884735
attirerait,1,0.0003894080996884735
part,9,0.0035046728971962616
menace,1,0.0003894080996884735
honore,1,0.0003894080996884735
immuable,1,0.0003894080996884735
mânes,4,0.001557632398753894
épées,2,0.000778816199376947
enée,1,0.0003894080996884735
assassine,1,0.0003894080996884735
empêcher,1,0.0003894080996884735
produit,5,0.0019470404984423676
visages,1,0.0003894080996884735
conjurés,1,0.0003894080996884735
humeur,2,0.000778816199376947
défendez,1,0.0003894080996884735
ouvre,3,0.0011682242990654205
donne,9,0.0035046728971962616
vengera,1,0.0003894080996884735
fureur,2,0.000778816199376947
beau,14,0.005451713395638629
rameaux,1,0.0003894080996884735
