Numéro|Nom de Page|Lien image|Largeur|Longueur
f1|plat supérieur|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f1|4170|5707
f2|contreplat sup.|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f2|4104|5704
f3|page de garde recto|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f3|3927|5591
f4|page de garde verso|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f4|4037|5641
f5|page de garde recto|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f5|3927|5591
f6|page de garde verso|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f6|4037|5641
f7|page de garde recto|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f7|3927|5591
f8|page de garde verso|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f8|4025|5641
f9|page de garde recto|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f9|3907|5521
f10|page de garde verso|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f10|4025|5584
f11|1r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f11|3816|5521
f12|1v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f12|3872|5592
f13|2r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f13|3820|5550
f14|2v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f14|3872|5592
f15|3r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f15|3820|5550
f16|3v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f16|3904|5656
f17|4r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f17|3820|5550
f18|4v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f18|3892|5656
f19|5r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f19|3820|5535
f20|5v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f20|3904|5640
f21|6r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f21|3805|5535
f22|6v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f22|3904|5640
f23|7r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f23|3805|5535
f24|7v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f24|3889|5640
f25|8r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f25|3805|5535
f26|8v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f26|3889|5640
f27|9r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f27|3805|5535
f28|9v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f28|3873|5640
f29|10r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f29|3831|5535
f30|10v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f30|3873|5640
f31|11r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f31|3831|5547
f32|11v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f32|3873|5640
f33|12r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f33|3831|5547
f34|12v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f34|3848|5640
f35|13r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f35|3831|5553
f36|13v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f36|3873|5640
f37|14r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f37|3817|5547
f38|14v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f38|3825|5640
f39|15r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f39|3817|5535
f40|15v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f40|3842|5640
f41|16r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f41|3798|5535
f42|16v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f42|3842|5640
f43|17r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f43|3798|5535
f44|17v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f44|3836|5640
f45|18r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f45|3799|5535
f46|18v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f46|3836|5640
f47|19r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f47|3835|5590
f48|19v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f48|3869|5640
f49|20r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f49|3835|5590
f50|20v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f50|3869|5640
f51|21r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f51|3835|5590
f52|21v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f52|3823|5606
f53|22r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f53|3835|5590
f54|22v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f54|3797|5606
f55|23r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f55|3835|5590
f56|23v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f56|3806|5606
f57|24r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f57|3809|5590
f58|24v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f58|3806|5606
f59|25r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f59|3809|5590
f60|25v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f60|3867|5589
f61|26r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f61|3792|5576
f62|26v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f62|3842|5589
f63|27r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f63|3792|5591
f64|27v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f64|3793|5606
f65|28r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f65|3792|5599
f66|28v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f66|3816|5606
f67|29r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f67|3829|5599
f68|29v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f68|3830|5606
f69|30r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f69|3829|5599
