Lien|Auteur|Date|Tweet
http://twitter.com/statuses/939909652824969216|lapointejm|Mon Apr 28 23:56:14 +0000 2014|RT @agefen: L'ouverture de la nouvelle API de Gallica est un événement scientifique majeur pour le paysage des Humanités Numériques en Fran…
http://twitter.com/statuses/939505250674860035|AnthonyMasure|Mon Aug 20 09:25:00 +0000 2007|"Des contenus supplémentaires de mon essai ""Design et humanités numériques"" @EditionsB42 sont disponibles en libre a… https://t.co/hJ6x0lymlw"
http://twitter.com/statuses/939238712348758017|Combrit29|Tue Sep 09 16:45:43 +0000 2014|RT @IHTP_CNRS: Guerre froide, sécurité nationale et Dirty War. Le retour du passé latino-américain à travers les « documents déclassifiés »…
http://twitter.com/statuses/939112613547528193|s_fredriksson|Sat Nov 14 23:43:04 +0000 2009|RT @entroispoints: Présentation du livre d’@AnthonyMasure Design et humanités numériques #DesignDH @letankparis avec @nicolasthely et @Edit…
http://twitter.com/statuses/939096874388262912|AnthonyMasure|Mon Aug 20 09:25:00 +0000 2007|RT @entroispoints: Présentation du livre d’@AnthonyMasure Design et humanités numériques #DesignDH @letankparis avec @nicolasthely et @Edit…
http://twitter.com/statuses/939092994405339136|entroispoints|Mon Aug 26 05:09:10 +0000 2013|Présentation du livre d’@AnthonyMasure Design et humanités numériques #DesignDH @letankparis avec @nicolasthely et… https://t.co/qe1gkwrFEO
http://twitter.com/statuses/939086210210951169|SophieBertrnd|Mon Aug 27 12:39:36 +0000 2012|"RT @Ecoledeschartes: [Vidéo] (re)voir la journée d'étude sur les #humanités #numériques, organisée par l'@ademec_enc
https://t.co/XPMeeVuRM…"
http://twitter.com/statuses/939075181208850432|mshstoulouse|Wed Feb 11 12:26:11 +0000 2015|RT @urfistoulouse: Mise en ligne des vidéos de la captation de la 4e édition de la conférence annuelle sur les humanités numériques organis…
http://twitter.com/statuses/939057071739293696|rvrrr|Tue Sep 13 20:23:51 +0000 2011|"RT @Ecoledeschartes: [Vidéo] (re)voir la journée d'étude sur les #humanités #numériques, organisée par l'@ademec_enc
https://t.co/XPMeeVuRM…"
http://twitter.com/statuses/938915132469665797|LauraGuien|Sat Jun 04 15:12:11 +0000 2011|RT @IHTP_CNRS: Guerre froide, sécurité nationale et Dirty War. Le retour du passé latino-américain à travers les « documents déclassifiés »…
http://twitter.com/statuses/938878443684495360|vhugonnard1|Sun Mar 08 22:16:36 +0000 2015|"RT @ISORE_SHS: #isore17 @lully1804
Experimenter les humanités numériques
Ouvrage en accès libre en ligne (modèle auteur / payeur)"
http://twitter.com/statuses/938877376469008385|vhugonnard1|Sun Mar 08 22:16:36 +0000 2015|"RT @ISORE_SHS: #isore17 @lully1804
Experimenter les humanités numériques
Idée de combler un vide, donner une vision de la recherche en trai…"
http://twitter.com/statuses/938877284123119616|vhugonnard1|Sun Mar 08 22:16:36 +0000 2015|"RT @ISORE_SHS: #isore17 
@lully1804 
Experimenter les humanités numériques
Cet ouvrage c est aussi une photographie de la recherche en trai…"
http://twitter.com/statuses/938869523939241984|EATempora|Mon Mar 06 21:02:28 +0000 2017|RT @IHTP_CNRS: Guerre froide, sécurité nationale et Dirty War. Le retour du passé latino-américain à travers les « documents déclassifiés »…
http://twitter.com/statuses/938864145918824448|amgoulet3|Sun Aug 18 11:52:38 +0000 2013|"RT @Ecoledeschartes: [Vidéo] (re)voir la journée d'étude sur les #humanités #numériques, organisée par l'@ademec_enc
https://t.co/XPMeeVuRM…"
